*,Blizzard,Coastal Flood,Cold/Wind Chill,Debris Flow,Dense Fog,Drought,Dust Devil,Dust Storm,Extreme Cold/Wind Chill,Flash Flood,Flood,Frost/Freeze,Hail,Heat,Heavy Rain,Heavy Snow,High Surf,High Wind,Hurricane,Ice Storm,Lake-Effect Snow,Lakeshore Flood,Lightning,Marine Strong Wind,Marine Thunderstorm Wind,Sleet,Storm Surge/Tide,Strong Wind,Thunderstorm Wind,Tornado,Tropical Storm,Wildfire,Winter Storm,Winter Weather,
Blizzard,*,_,_,_,_,-0.9572,-1.2554,_,_,-0.4613,-0.4931,0.7669,-0.5139,_,-0.6243,_,_,-0.4534,1.0633,_,_,_,-0.6398,_,-1.3134,_,_,-1.2564,-0.9794,_,-1.2052,_,_,-0.4956,
Coastal Flood,_,*,_,_,_,-0.7609,-1.059,_,_,_,_,0.9632,_,_,_,_,_,_,1.2596,_,_,_,-0.4435,_,-1.117,_,_,-1.06,-0.7831,_,-1.0088,_,_,_,
Cold/Wind Chill,_,_,*,_,_,_,-1.2413,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,-1.2994,_,_,-1.2424,-0.9654,_,-1.1911,_,_,_,
Debris Flow,_,_,_,*,_,-0.5562,-0.8543,_,_,_,_,1.1679,_,_,_,_,_,_,1.4643,0.5776,_,_,_,_,_,_,_,-0.8553,-0.5784,0.4861,-0.8041,_,_,_,
Dense Fog,_,_,_,_,*,-1.3794,-1.6775,_,_,-0.8834,-0.9153,_,-0.936,_,-1.0464,_,_,-0.8756,_,_,_,_,-1.062,-1.7692,-1.7355,_,_,-1.6785,-1.4016,_,-1.6273,_,_,-0.9178,
Drought,-0.9572,-0.7609,_,-0.5562,-1.3794,*,_,0.9195,0.9011,0.496,0.4641,1.7241,0.4434,_,_,0.6297,1.7452,0.5038,2.0205,1.1338,0.7203,_,_,_,_,_,2.43,_,_,1.0423,_,0.8282,0.945,0.4616,
Dust Devil,-1.2554,-1.059,-1.2413,-0.8543,-1.6775,_,*,1.2176,1.1993,0.7941,0.7622,2.0222,0.7415,2.0074,_,0.9279,2.0433,0.802,2.3186,1.4319,1.0185,_,_,_,_,_,2.7281,_,_,1.3404,_,1.1263,1.2431,0.7598,
Dust Storm,_,_,_,_,_,0.9195,1.2176,*,_,_,_,_,_,_,_,_,_,_,1.101,_,_,_,_,_,-1.2757,_,_,-1.2187,-0.9417,_,-1.1674,_,_,_,
Extreme Cold/Wind Chill,_,_,_,_,_,0.9011,1.1993,_,*,-0.4052,-0.437,0.823,-0.4578,_,-0.5682,_,_,-0.3973,1.1194,_,_,_,-0.5837,_,-1.2573,_,_,-1.2003,-0.9233,_,-1.1491,_,_,-0.4395,
Flash Flood,-0.4613,_,_,_,-0.8834,0.496,0.7941,_,-0.4052,*,_,1.2281,_,_,_,_,_,_,1.5245,0.6378,_,_,-0.1786,_,_,_,_,-0.7951,-0.5182,0.5463,-0.7439,0.3322,0.449,_,
Flood,-0.4931,_,_,_,-0.9153,0.4641,0.7622,_,-0.437,_,*,1.26,_,_,_,_,_,_,1.5564,0.6697,0.2562,_,-0.1467,_,_,_,_,-0.7632,-0.4863,0.5782,-0.712,0.3641,0.4809,_,
Frost/Freeze,0.7669,0.9632,_,1.1679,_,1.7241,2.0222,_,0.823,1.2281,1.26,*,-1.2807,_,-1.3911,-1.0944,_,-1.2203,_,-0.5903,-1.0038,-1.7631,-1.4067,-2.1139,-2.0803,-1.1423,_,-2.0233,-1.7463,-0.6819,-1.972,-0.8959,-0.7791,-1.2625,
Hail,-0.5139,_,_,_,-0.936,0.4434,0.7415,_,-0.4578,_,_,-1.2807,*,_,_,_,_,_,1.5771,0.6904,0.277,_,-0.1259,_,_,_,_,-0.7425,-0.4656,0.5989,-0.6913,0.3848,0.5016,_,
Heat,_,_,_,_,_,_,2.0074,_,_,_,_,_,_,*,_,_,_,_,_,_,_,_,_,_,-2.0655,_,_,-2.0085,_,_,-1.9572,_,_,_,
Heavy Rain,-0.6243,_,_,_,-1.0464,_,_,_,-0.5682,_,_,-1.3911,_,_,*,_,1.4122,_,1.6875,0.8008,0.3873,_,_,_,_,_,_,-0.6321,-0.3552,0.7093,-0.5809,0.4952,0.612,_,
Heavy Snow,_,_,_,_,_,0.6297,0.9279,_,_,_,_,-1.0944,_,_,_,*,_,_,1.3908,0.5041,_,_,-0.3123,_,-0.9859,_,_,-0.9289,-0.6519,0.4125,-0.8777,_,0.3153,_,
High Surf,_,_,_,_,_,1.7452,2.0433,_,_,_,_,_,_,_,1.4122,_,*,_,_,_,_,_,-1.4278,-2.1349,-2.1013,_,_,-2.0443,-1.7674,_,-1.9931,_,_,_,
High Wind,-0.4534,_,_,_,-0.8756,0.5038,0.802,_,-0.3973,_,_,-1.2203,_,_,_,_,_,*,1.5167,0.63,_,_,-0.1864,_,_,_,_,-0.803,-0.526,0.5384,-0.7518,0.3244,0.4412,_,
Hurricane,1.0633,1.2596,_,1.4643,_,2.0205,2.3186,1.101,1.1194,1.5245,1.5564,_,1.5771,_,1.6875,1.3908,_,1.5167,*,_,-1.3002,-2.0595,-1.7031,-2.4102,-2.3766,-1.4387,_,-2.3196,-2.0427,-0.9782,-2.2684,-1.1923,-1.0755,-1.5589,
Ice Storm,_,_,_,0.5776,_,1.1338,1.4319,_,_,0.6378,0.6697,-0.5903,0.6904,_,0.8008,0.5041,_,0.63,_,*,-0.4135,_,-0.8164,_,-1.49,_,_,-1.433,-1.156,_,-1.3817,-0.3056,_,-0.6722,
Lake-Effect Snow,_,_,_,_,_,0.7203,1.0185,_,_,_,0.2562,-1.0038,0.277,_,0.3873,_,_,_,-1.3002,-0.4135,*,_,-0.4029,_,-1.0765,_,_,-1.0195,-0.7425,0.3219,-0.9683,_,_,_,
Lakeshore Flood,_,_,_,_,_,_,_,_,_,_,_,-1.7631,_,_,_,_,_,_,-2.0595,_,_,*,_,_,_,_,_,_,_,_,_,_,_,_,
Lightning,-0.6398,-0.4435,_,_,-1.062,_,_,_,-0.5837,-0.1786,-0.1467,-1.4067,-0.1259,_,_,-0.3123,-1.4278,-0.1864,-1.7031,-0.8164,-0.4029,_,*,_,_,_,_,-0.6166,-0.3396,0.7248,-0.5654,0.5108,0.6276,_,
Marine Strong Wind,_,_,_,_,-1.7692,_,_,_,_,_,_,-2.1139,_,_,_,_,-2.1349,_,-2.4102,_,_,_,_,*,_,_,2.8198,_,_,_,_,_,_,_,
Marine Thunderstorm Wind,-1.3134,-1.117,-1.2994,_,-1.7355,_,_,-1.2757,-1.2573,_,_,-2.0803,_,-2.0655,_,-0.9859,-2.1013,_,-2.3766,-1.49,-1.0765,_,_,_,*,_,2.7861,_,_,1.3984,_,1.1844,1.3011,_,
Sleet,_,_,_,_,_,_,_,_,_,_,_,-1.1423,_,_,_,_,_,_,-1.4387,_,_,_,_,_,_,*,_,-0.8809,_,_,_,_,_,_,
Storm Surge/Tide,_,_,_,_,_,2.43,2.7281,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,2.8198,2.7861,_,*,-2.7291,-2.4522,_,-2.6779,_,_,_,
Strong Wind,-1.2564,-1.06,-1.2424,-0.8553,-1.6785,_,_,-1.2187,-1.2003,-0.7951,-0.7632,-2.0233,-0.7425,-2.0085,-0.6321,-0.9289,-2.0443,-0.803,-2.3196,-1.433,-1.0195,_,-0.6166,_,_,-0.8809,-2.7291,*,0.2769,1.3414,_,1.1274,1.2441,0.7608,
Thunderstorm Wind,-0.9794,-0.7831,-0.9654,-0.5784,-1.4016,_,_,-0.9417,-0.9233,-0.5182,-0.4863,-1.7463,-0.4656,_,-0.3552,-0.6519,-1.7674,-0.526,-2.0427,-1.156,-0.7425,_,-0.3396,_,_,_,-2.4522,0.2769,*,1.0645,_,0.8504,0.9672,0.4838,
Tornado,_,_,_,0.4861,_,1.0423,1.3404,_,_,0.5463,0.5782,-0.6819,0.5989,_,0.7093,0.4125,_,0.5384,-0.9782,_,0.3219,_,0.7248,_,1.3984,_,_,1.3414,1.0645,*,-1.2902,_,_,-0.5806,
Tropical Storm,-1.2052,-1.0088,-1.1911,-0.8041,-1.6273,_,_,-1.1674,-1.1491,-0.7439,-0.712,-1.972,-0.6913,-1.9572,-0.5809,-0.8777,-1.9931,-0.7518,-2.2684,-1.3817,-0.9683,_,-0.5654,_,_,_,-2.6779,_,_,-1.2902,*,1.0761,1.1929,0.7096,
Wildfire,_,_,_,_,_,0.8282,1.1263,_,_,0.3322,0.3641,-0.8959,0.3848,_,0.4952,_,_,0.3244,-1.1923,-0.3056,_,_,0.5108,_,1.1844,_,_,1.1274,0.8504,_,1.0761,*,_,-0.3666,
Winter Storm,_,_,_,_,_,0.945,1.2431,_,_,0.449,0.4809,-0.7791,0.5016,_,0.612,0.3153,_,0.4412,-1.0755,_,_,_,0.6276,_,1.3011,_,_,1.2441,0.9672,_,1.1929,_,*,-0.4834,
Winter Weather,-0.4956,_,_,_,-0.9178,0.4616,0.7598,_,-0.4395,_,_,-1.2625,_,_,_,_,_,_,-1.5589,-0.6722,_,_,_,_,_,_,_,0.7608,0.4838,-0.5806,0.7096,-0.3666,-0.4834,*